id,char,pinyins,script_type,hsk_level
1,一,yī|yí|yì,neutral,1
2,丁,dīng|zhēng,neutral,7-9
4,七,qī|qí,neutral,1
8,万,wàn|mò,neutral,2
9,丈,zhàng,neutral,4
10,三,sān,neutral,1
11,上,shàng|shǎng,neutral,1
12,下,xià,neutral,1
14,不,bù|fǒu|fōu|fū|bú,neutral,1
15,与,yǔ|yù|yú,simplified,4
17,丐,gài,neutral,7-9
18,丑,chǒu,neutral,5
20,专,zhuān,simplified,3
21,且,qiě|jū|cú,neutral,2
22,丕,pī,neutral,
23,世,shì,neutral,3
25,丘,qiū,neutral,7-9
26,丙,bǐng|bìng,neutral,7-9
27,业,yè,simplified,2
28,丛,cóng,simplified,7-9
29,东,dōng,simplified,1
30,丝,sī,simplified,7-9
31,丞,chéng|shèng|zhēng|zhěng,neutral,
32,丟,diū,traditional,
35,丢,diū,neutral,5
37,两,liǎng,neutral,1
38,严,yán,simplified,4
39,並,bìng|bàn|bàng,traditional,
40,丧,sàng|sāng,simplified,6
43,个,gè|gě|gàn,neutral,1
44,丫,yā,neutral,7-9
46,中,zhōng|zhòng,neutral,1
49,丰,fēng,neutral,3
51,串,chuàn|guàn|quàn,neutral,6
53,临,lín,simplified,4
57,丸,wán,neutral,7-9
58,丹,dān,neutral,7-9
59,为,wèi|wéi,simplified,2
60,主,zhǔ|zhù,neutral,2
62,丽,lì|lí,simplified,3
63,举,jǔ,simplified,2
68,乃,nǎi|ǎi,neutral,7-9
70,久,jiǔ,neutral,2
73,么,me|yāo|mó|ma,neutral,1
74,义,yì,neutral,3
76,之,zhī|zhū|zhì,neutral,4
77,乌,wū|wù,simplified,6
78,乍,zhà|zuò,neutral,
79,乎,hū,neutral,4
80,乏,fá,neutral,5
81,乐,lè|yuè,neutral,2
83,乒,pīng,neutral,7-9
84,乓,pāng,neutral,7-9
85,乔,qiáo,neutral,7-9
87,乖,guāi,neutral,7-9
89,乘,chéng|shèng,neutral,5
90,乙,yǐ|yì|jué,neutral,5
94,九,jiǔ|jiū,neutral,1
95,乞,qǐ|qì,neutral,7-9
96,也,yě|yí,neutral,1
97,习,xí,simplified,1
98,乡,xiāng,simplified,3
103,书,shū,simplified,1
113,买,mǎi,simplified,1
114,乱,luàn,neutral,3
116,乳,rǔ,neutral,6
127,乾,qián|gān,neutral,
131,亂,luàn,traditional,
135,了,le|liǎo|liào,neutral,1
137,予,yǔ|yú|zhù,neutral,6
138,争,zhēng,neutral,3
140,事,shì|zì,neutral,1
141,二,èr,neutral,1
143,于,yú|wéi|yū|xū,neutral,2
144,亏,kuī|yú,neutral,5
146,云,yún,neutral,2
147,互,hù,neutral,3
149,五,wǔ,neutral,1
150,井,jǐng|jìng,neutral,6
155,亚,yà,simplified,4
156,些,xiē|suò|suō,neutral,1
157,亜,yà,neutral,
159,亞,yà|yā|è,traditional,
162,亡,wáng|wú,neutral,6
163,亢,kàng|gāng|gēng,neutral,
165,交,jiāo,neutral,2
166,亥,hài|jiē,neutral,
167,亦,yì,neutral,7-9
168,产,chǎn,simplified,3
169,亨,hēng|xiǎng|pēng,neutral,
170,亩,mǔ,simplified,7-9
172,享,xiǎng,neutral,5
173,京,jīng,neutral,1
174,亭,tíng,neutral,7-9
175,亮,liàng|liáng,neutral,2
179,亲,qīn|qìng,simplified,3
182,亵,xiè,simplified,
187,人,rén,neutral,1
192,亿,yì,simplified,2
193,什,shén|shí,neutral,1
194,仁,rén,neutral,7-9
198,仅,jǐn|fù|nú|jìn,neutral,3
199,仆,pū|pú,neutral,7-9
200,仇,chóu|qiú|jū,neutral,7-9
203,今,jīn,neutral,1
204,介,jiè|gè,neutral,1
206,仍,réng,neutral,3
207,从,cóng|zòng,neutral,1
212,仓,cāng,simplified,6
213,仔,zǎi|zǐ|zī,neutral,5
215,他,tā|tuó,neutral,1
216,仗,zhàng,neutral,7-9
217,付,fù,neutral,3
218,仙,xiān|xiǎn,neutral,7-9
228,代,dài,neutral,3
229,令,lìng|líng|lǐng|lián,neutral,5
230,以,yǐ|sì,neutral,2
233,仨,sā,neutral,
235,仪,yí,neutral,6
237,们,men|mén,simplified,1
241,仰,yǎng|áng,neutral,6
243,仲,zhòng,neutral,7-9
247,件,jiàn|móu,neutral,2
248,价,jià|jie|jiè,neutral,3
252,任,rèn|rén|lìn,neutral,3
254,份,fèn|bīn,neutral,2
256,仿,fǎng|páng,neutral,5
258,企,qǐ,neutral,4
267,伊,yī,neutral,7-9
270,伍,wǔ,neutral,6
271,伎,jì|zhì|qí|qì,neutral,
272,伏,fú|fù,neutral,7-9
273,伐,fá,neutral,7-9
274,休,xiū|xù,neutral,1
280,众,zhòng|yín,neutral,3
281,优,yōu|yóu,neutral,3
282,伙,huǒ|huo,neutral,4
283,会,huì|kuài,neutral,1
287,伞,sǎn,simplified,4
288,伟,wěi,simplified,3
289,传,chuán|zhuàn,simplified,3
293,伤,shāng,neutral,3
295,伦,lún,simplified,7-9
299,伪,wěi,simplified,7-9
300,伫,zhù,simplified,
304,伯,bó|bǎi|mò|bà,neutral,7-9
305,估,gū|gù,neutral,5
309,伴,bàn|pàn,neutral,4
311,伶,líng,neutral,
313,伸,shēn,neutral,5
315,伺,cì|sì,neutral,7-9
317,似,shì|sì,neutral,3
318,伽,gā|jiā|qié,neutral,
327,但,dàn|tǎn|yàn,neutral,2
329,佈,bù,neutral,
334,位,wèi|lì,neutral,2
335,低,dī,neutral,2
336,住,zhù,neutral,1
337,佐,zuǒ,neutral,7-9
338,佑,yòu,neutral,7-9
340,体,tǐ|tī|bèn|cuì,neutral,1
341,佔,zhàn|chān|diān,neutral,
342,何,hé|hè,neutral,3
345,佘,shé,neutral,
346,余,yú|tú|xú|yù,neutral,4
348,佛,fú|fó|bó|bì,neutral,6
349,作,zuò|zuō|zuó,neutral,1
353,你,nǐ,neutral,1
356,佣,yōng|yòng,neutral,7-9
362,佩,pèi,neutral,7-9
365,佬,lǎo|liáo,neutral,
372,佳,jiā,neutral,6
374,併,bìng,traditional,
376,佷,hěn|héng,neutral,
381,佼,jiǎo|jiāo|xiáo,neutral,
384,使,shǐ,neutral,2
388,侃,kǎn,neutral,7-9
389,侄,zhí,neutral,
391,來,lái|lài,traditional,
393,侈,chǐ,neutral,7-9
396,例,lì|liè,neutral,2
398,侍,shì,neutral,7-9
400,侏,zhū|zhōu,neutral,
407,侖,lún|lùn,traditional,
412,供,gōng|gòng,neutral,4
414,依,yī|yǐ,neutral,4
417,侠,xiá,neutral,7-9
420,侣,lǚ,simplified,7-9
422,侥,jiǎo|yáo,simplified,
423,侦,zhēn,simplified,7-9
424,侧,cè|zè|zhāi,simplified,6
425,侨,qiáo,simplified,7-9
427,侪,chái,simplified,
429,侬,nóng,simplified,
431,侮,wǔ,neutral,7-9
432,侯,hóu|hòu,neutral,
438,侵,qīn|qǐn,neutral,6
439,侶,lǚ,traditional,
448,便,biàn|pián|biān,neutral,2
451,係,xì,traditional,
452,促,cù|chuò,neutral,4
453,俄,é,neutral,7-9
459,俊,jùn|shùn|dūn,neutral,7-9
464,俏,qiào|xiào|xiāo,neutral,7-9
465,俐,lì,neutral,
472,俗,sú,neutral,4
473,俘,fú,neutral,7-9
475,俚,lǐ|lì,neutral,
478,保,bǎo,neutral,3
482,信,xìn|shēn,neutral,2
490,俩,liǎ|liǎng,simplified,4
494,俭,jiǎn,simplified,7-9
495,修,xiū,neutral,3
496,俯,fǔ,neutral,7-9
498,俱,jù|jū,neutral,5
500,俳,pái,neutral,
507,俺,ǎn|yàn,neutral,
511,俾,bǐ|bì|bēi|pì,neutral,
519,倆,liǎ|liǎng,traditional,
522,倉,cāng|chuàng,traditional,
524,個,gè|gě,traditional,
526,倍,bèi|péi,neutral,4
530,們,men|mèn|mén,traditional,
531,倒,dào|dǎo,neutral,2
533,倔,jué|juè,neutral,7-9
535,倖,xìng,neutral,
538,候,hòu,neutral,1
539,倚,yǐ|jī|yī,neutral,7-9
544,借,jiè,neutral,2
546,倡,chàng|chāng,neutral,5
551,倦,juàn,neutral,7-9
556,倫,lún,traditional,
571,债,zhài,simplified,6
573,值,zhí,neutral,3
575,倾,qīng,simplified,6
584,假,jiǎ|jià|jie|xià|xiá|gé,neutral,1
586,偉,wěi,traditional,
592,偏,piān,neutral,6
598,偕,xié|jiē,neutral,
603,做,zuò,neutral,1
605,停,tíng,neutral,2
614,健,jiàn,neutral,2
629,側,cè|zè|zhāi,traditional,
630,偵,zhēn|zhēng,traditional,
631,偶,ǒu,neutral,5
632,偷,tōu,neutral,5
638,偽,wěi|wéi|é|guì,traditional,
640,偿,cháng,simplified,5
641,傀,guī|kuǐ|kuài,neutral,
646,傅,fù|fū,neutral,5
654,傍,bàng|páng|bēng|péng,neutral,6
658,傑,jié,traditional,
665,傘,sǎn,traditional,
666,備,bèi,traditional,
675,傢,jiā|xiàng,traditional,
681,储,chǔ,simplified,6
685,催,cuī,neutral,7-9
686,傭,yōng|chōng|yòng,traditional,
691,傲,ào|áo,neutral,6
692,傳,chuán|zhuàn,traditional,
694,債,zhài,traditional,
696,傷,shāng,traditional,
700,傻,shǎ,neutral,5
703,傾,qīng|qǐng,traditional,
710,僅,jǐn|jìn,traditional,
720,像,xiàng,neutral,2
726,僕,pú|pū|bú,traditional,
731,僚,liáo|liǎo|lǎo,neutral,7-9
744,僧,sēng|céng,neutral,7-9
754,僱,gù,neutral,
758,僵,jiāng,neutral,7-9
762,價,jià|qiǎ|jie,traditional,
764,僻,pì,neutral,7-9
769,儀,yí,traditional,
771,儂,nóng,traditional,
773,億,yì|yī,traditional,
778,儉,jiǎn,traditional,
787,儒,rú,neutral,7-9
790,儕,chái,traditional,
793,儘,jǐn|jìn,traditional,
800,償,cháng,traditional,
802,儡,lěi|léi|lèi,neutral,
811,優,yōu,traditional,
819,儲,chǔ|chú,traditional,
832,儿,ér|er|rén,neutral,1
833,兀,wù|wū,neutral,
834,允,yǔn|yuán,neutral,6
