id,char,codepoint,pinyins
1,一,U+4E00,yī(32747)
2,丁,U+4E01,dīng(16)
3,丂,U+4E02,kǎo|qiǎo|yú
4,七,U+4E03,qī(950)
5,丄,U+4E04,shàng
6,丅,U+4E05,xià
7,丆,U+4E06,hǎn
8,万,U+4E07,wàn(1335)
9,丈,U+4E08,zhàng(112)
10,三,U+4E09,sān(3030)
11,上,U+4E0A,shàng(12308)|shang(392)
12,下,U+4E0B,xià(6430)|xia(249)
13,丌,U+4E0C,jī|qí
14,不,U+4E0D,bù(23305)|bu(555)
15,与,U+4E0E,yǔ(962)|yù(10)
16,丏,U+4E0F,miǎn
17,丐,U+4E10,gài
18,丑,U+4E11,chǒu(31)
19,丒,U+4E12,chǒu
20,专,U+4E13,zhuān(602)
21,且,U+4E14,qiě(1051)
22,丕,U+4E15,pī
23,世,U+4E16,shì(1238)
24,丗,U+4E17,shì
25,丘,U+4E18,qiū(58)
26,丙,U+4E19,bǐng(30)
27,业,U+4E1A,yè(2095)
28,丛,U+4E1B,cóng(69)
29,东,U+4E1C,dōng(1601)
30,丝,U+4E1D,sī(186)
31,丞,U+4E1E,chéng|shèng|zhēng|zhěng
32,丟,U+4E1F,diū(144)
33,丠,U+4E20,qiū
34,両,U+4E21,liǎng
35,丢,U+4E22,diū(144)
36,丣,U+4E23,yǒu
37,两,U+4E24,liǎng(3229)
38,严,U+4E25,yán(633)
39,並,U+4E26,bìng|bàn|bàng
40,丧,U+4E27,sàng(22)
41,丨,U+4E28,gǔn
42,丩,U+4E29,jiū
43,个,U+4E2A,gè(11693)|ge(1891)|gě(18)
44,丫,U+4E2B,yā(56)
45,丬,U+4E2C,qiáng
46,中,U+4E2D,zhōng(4875)|zhòng(66)
47,丮,U+4E2E,jǐ
48,丯,U+4E2F,jiè
49,丰,U+4E30,fēng(264)
50,丱,U+4E31,guàn|kuàng
51,串,U+4E32,chuàn(104)
52,丳,U+4E33,chǎn|chuàn
53,临,U+4E34,lín(220)
54,丵,U+4E35,zhuó
55,丶,U+4E36,zhǔ
56,丷,U+4E37,bā
57,丸,U+4E38,wán(13)
58,丹,U+4E39,dān(31)|dan(11)
59,为,U+4E3A,wèi(3962)|wéi(2433)
60,主,U+4E3B,zhǔ(6884)
61,丼,U+4E3C,jǐng|dǎn
62,丽,U+4E3D,lì(215)
