id,char,codepoint
1,一,U+4E00
2,丁,U+4E01
3,丂,U+4E02
4,七,U+4E03
5,丄,U+4E04
6,丅,U+4E05
7,丆,U+4E06
8,万,U+4E07
9,丈,U+4E08
10,三,U+4E09
11,上,U+4E0A
12,下,U+4E0B
13,丌,U+4E0C
14,不,U+4E0D
15,与,U+4E0E
16,丏,U+4E0F
17,丐,U+4E10
18,丑,U+4E11
19,丒,U+4E12
20,专,U+4E13
21,且,U+4E14
22,丕,U+4E15
23,世,U+4E16
24,丗,U+4E17
25,丘,U+4E18
26,丙,U+4E19
27,业,U+4E1A
28,丛,U+4E1B
29,东,U+4E1C
30,丝,U+4E1D
31,丞,U+4E1E
32,丟,U+4E1F
33,丠,U+4E20
34,両,U+4E21
35,丢,U+4E22
36,丣,U+4E23
37,两,U+4E24
38,严,U+4E25
39,並,U+4E26
40,丧,U+4E27
41,丨,U+4E28
42,丩,U+4E29
43,个,U+4E2A
44,丫,U+4E2B
45,丬,U+4E2C
46,中,U+4E2D
47,丮,U+4E2E
48,丯,U+4E2F
49,丰,U+4E30
50,丱,U+4E31
51,串,U+4E32
52,丳,U+4E33
53,临,U+4E34
54,丵,U+4E35
55,丶,U+4E36
56,丷,U+4E37
57,丸,U+4E38
58,丹,U+4E39
59,为,U+4E3A
60,主,U+4E3B
61,丼,U+4E3C
62,丽,U+4E3D
63,举,U+4E3E
64,丿,U+4E3F
65,乀,U+4E40
66,乁,U+4E41
67,乂,U+4E42
68,乃,U+4E43
69,乄,U+4E44
70,久,U+4E45
71,乆,U+4E46
72,乇,U+4E47
73,么,U+4E48
74,义,U+4E49
75,乊,U+4E4A
76,之,U+4E4B
77,乌,U+4E4C
78,乍,U+4E4D
79,乎,U+4E4E
80,乏,U+4E4F
81,乐,U+4E50
82,乑,U+4E51
83,乒,U+4E52
84,乓,U+4E53
85,乔,U+4E54
86,乕,U+4E55
87,乖,U+4E56
88,乗,U+4E57
89,乘,U+4E58
90,乙,U+4E59
91,乚,U+4E5A
92,乛,U+4E5B
93,乜,U+4E5C
94,九,U+4E5D
95,乞,U+4E5E
96,也,U+4E5F
97,习,U+4E60
98,乡,U+4E61
99,乢,U+4E62
100,乣,U+4E63
101,乤,U+4E64
102,乥,U+4E65
103,书,U+4E66
104,乧,U+4E67
105,乨,U+4E68
106,乩,U+4E69
107,乪,U+4E6A
108,乫,U+4E6B
109,乬,U+4E6C
110,乭,U+4E6D
111,乮,U+4E6E
112,乯,U+4E6F
113,买,U+4E70
114,乱,U+4E71
115,乲,U+4E72
116,乳,U+4E73
117,乴,U+4E74
118,乵,U+4E75
119,乶,U+4E76
120,乷,U+4E77
121,乸,U+4E78
122,乹,U+4E79
123,乺,U+4E7A
124,乻,U+4E7B
125,乼,U+4E7C
126,乽,U+4E7D
127,乾,U+4E7E
128,乿,U+4E7F
129,亀,U+4E80
130,亁,U+4E81
131,亂,U+4E82
132,亃,U+4E83
133,亄,U+4E84
134,亅,U+4E85
135,了,U+4E86
136,亇,U+4E87
137,予,U+4E88
138,争,U+4E89
139,亊,U+4E8A
140,事,U+4E8B
141,二,U+4E8C
142,亍,U+4E8D
143,于,U+4E8E
144,亏,U+4E8F
145,亐,U+4E90
146,云,U+4E91
147,互,U+4E92
148,亓,U+4E93
149,五,U+4E94
150,井,U+4E95
151,亖,U+4E96
152,亗,U+4E97
153,亘,U+4E98
154,亙,U+4E99
155,亚,U+4E9A
156,些,U+4E9B
157,亜,U+4E9C
158,亝,U+4E9D
159,亞,U+4E9E
160,亟,U+4E9F
161,亠,U+4EA0
162,亡,U+4EA1
163,亢,U+4EA2
164,亣,U+4EA3
165,交,U+4EA4
166,亥,U+4EA5
167,亦,U+4EA6
168,产,U+4EA7
169,亨,U+4EA8
170,亩,U+4EA9
171,亪,U+4EAA
172,享,U+4EAB
173,京,U+4EAC
174,亭,U+4EAD
175,亮,U+4EAE
176,亯,U+4EAF
177,亰,U+4EB0
178,亱,U+4EB1
179,亲,U+4EB2
180,亳,U+4EB3
181,亴,U+4EB4
182,亵,U+4EB5
183,亶,U+4EB6
184,亷,U+4EB7
185,亸,U+4EB8
186,亹,U+4EB9
187,人,U+4EBA
188,亻,U+4EBB
189,亼,U+4EBC
190,亽,U+4EBD
191,亾,U+4EBE
192,亿,U+4EBF
193,什,U+4EC0
194,仁,U+4EC1
195,仂,U+4EC2
196,仃,U+4EC3
197,仄,U+4EC4
198,仅,U+4EC5
199,仆,U+4EC6
200,仇,U+4EC7
201,仈,U+4EC8
202,仉,U+4EC9
203,今,U+4ECA
204,介,U+4ECB
205,仌,U+4ECC
206,仍,U+4ECD
207,从,U+4ECE
