id,char,codepoint,pinyins_tone3,pinyins_display
1,一,U+4E00,yi1|yi2|yi4,yī|yí|yì
2,丁,U+4E01,ding1|zheng1,dīng|zhēng
3,丂,U+4E02,kao3|qiao3|yu2,kǎo|qiǎo|yú
4,七,U+4E03,qi1|qi2,qī|qí
5,丄,U+4E04,shang4,shàng
6,丅,U+4E05,xia4,xià
7,丆,U+4E06,han3,hǎn
8,万,U+4E07,wan4|mo4,wàn|mò
9,丈,U+4E08,zhang4,zhàng
10,三,U+4E09,san1,sān
11,上,U+4E0A,shang4|shang3,shàng|shǎng
12,下,U+4E0B,xia4,xià
13,丌,U+4E0C,ji1|qi2,jī|qí
14,不,U+4E0D,bu4|fou3|fou1|fu1|bu2,bù|fǒu|fōu|fū|bú
15,与,U+4E0E,yu3|yu4|yu2,yǔ|yù|yú
16,丏,U+4E0F,mian3,miǎn
17,丐,U+4E10,gai4,gài
18,丑,U+4E11,chou3,chǒu
19,丒,U+4E12,chou3,chǒu
20,专,U+4E13,zhuan1,zhuān
21,且,U+4E14,qie3|ju1|cu2,qiě|jū|cú
22,丕,U+4E15,pi1,pī
23,世,U+4E16,shi4,shì
24,丗,U+4E17,shi4,shì
25,丘,U+4E18,qiu1,qiū
26,丙,U+4E19,bing3|bing4,bǐng|bìng
27,业,U+4E1A,ye4,yè
28,丛,U+4E1B,cong2,cóng
29,东,U+4E1C,dong1,dōng
30,丝,U+4E1D,si1,sī
31,丞,U+4E1E,cheng2|sheng4|zheng1|zheng3,chéng|shèng|zhēng|zhěng
32,丟,U+4E1F,diu1,diū
33,丠,U+4E20,qiu1,qiū
34,両,U+4E21,liang3,liǎng
35,丢,U+4E22,diu1,diū
36,丣,U+4E23,you3,yǒu
37,两,U+4E24,liang3,liǎng
38,严,U+4E25,yan2,yán
39,並,U+4E26,bing4|ban4|bang4,bìng|bàn|bàng
40,丧,U+4E27,sang4|sang1,sàng|sāng
41,丨,U+4E28,gun3,gǔn
42,丩,U+4E29,jiu1,jiū
43,个,U+4E2A,ge4|ge3|gan4,gè|gě|gàn
44,丫,U+4E2B,ya1,yā
45,丬,U+4E2C,qiang2,qiáng
46,中,U+4E2D,zhong1|zhong4,zhōng|zhòng
47,丮,U+4E2E,ji3,jǐ
48,丯,U+4E2F,jie4,jiè
49,丰,U+4E30,feng1,fēng
50,丱,U+4E31,guan4|kuang4,guàn|kuàng
51,串,U+4E32,chuan4|guan4|quan4,chuàn|guàn|quàn
52,丳,U+4E33,chan3|chuan4,chǎn|chuàn
53,临,U+4E34,lin2,lín
54,丵,U+4E35,zhuo2,zhuó
55,丶,U+4E36,zhu3,zhǔ
56,丷,U+4E37,ba1,bā
57,丸,U+4E38,wan2,wán
58,丹,U+4E39,dan1,dān
59,为,U+4E3A,wei4|wei2,wèi|wéi
60,主,U+4E3B,zhu3|zhu4,zhǔ|zhù
61,丼,U+4E3C,jing3|dan3,jǐng|dǎn
62,丽,U+4E3D,li4|li2,lì|lí
63,举,U+4E3E,ju3,jǔ
64,丿,U+4E3F,pie3|yi4,piě|yì
65,乀,U+4E40,fu2,fú
66,乁,U+4E41,yi2|ji2,yí|jí
67,乂,U+4E42,yi4|ai4,yì|ài
68,乃,U+4E43,nai3|ai3,nǎi|ǎi
69,乄,U+4E44,wu3,wǔ
70,久,U+4E45,jiu3,jiǔ
71,乆,U+4E46,jiu3,jiǔ
72,乇,U+4E47,tuo1|zhe2,tuō|zhé
73,么,U+4E48,me|yao1|mo2|ma,me|yāo|mó|ma
74,义,U+4E49,yi4,yì
75,乊,U+4E4A,yi1,yī
76,之,U+4E4B,zhi1|zhu1|zhi4,zhī|zhū|zhì
77,乌,U+4E4C,wu1|wu4,wū|wù
78,乍,U+4E4D,zha4|zuo4,zhà|zuò
79,乎,U+4E4E,hu1,hū
80,乏,U+4E4F,fa2,fá
81,乐,U+4E50,le4|yue4,lè|yuè
82,乑,U+4E51,yin2|pan1|zhong4,yín|pān|zhòng
83,乒,U+4E52,ping1,pīng
84,乓,U+4E53,pang1,pāng
85,乔,U+4E54,qiao2,qiáo
86,乕,U+4E55,hu3,hǔ
87,乖,U+4E56,guai1,guāi
88,乗,U+4E57,cheng2,chéng
89,乘,U+4E58,cheng2|sheng4,chéng|shèng
90,乙,U+4E59,yi3|yi4|jue2,yǐ|yì|jué
91,乚,U+4E5A,yin3,yǐn
92,乛,U+4E5B,ya,ya
93,乜,U+4E5C,mie1|nie4,miē|niè
94,九,U+4E5D,jiu3|jiu1,jiǔ|jiū
95,乞,U+4E5E,qi3|qi4,qǐ|qì
96,也,U+4E5F,ye3|yi2,yě|yí
97,习,U+4E60,xi2,xí
98,乡,U+4E61,xiang1,xiāng
99,乢,U+4E62,gai4,gài
100,乣,U+4E63,jiu3,jiǔ
101,乤,U+4E64,xia4,xià
102,乥,U+4E65,hu4,hù
103,书,U+4E66,shu1,shū
104,乧,U+4E67,dou3,dǒu
105,乨,U+4E68,shi3,shǐ
106,乩,U+4E69,ji1,jī
107,乪,U+4E6A,nang2,náng
108,乫,U+4E6B,jia1,jiā
109,乬,U+4E6C,ju4,jù
110,乭,U+4E6D,shi2,shí
111,乮,U+4E6E,mao3,mǎo
112,乯,U+4E6F,hu1,hū
113,买,U+4E70,mai3,mǎi
114,乱,U+4E71,luan4,luàn
115,乲,U+4E72,zi1,zī
116,乳,U+4E73,ru3,rǔ
117,乴,U+4E74,xue2,xué
118,乵,U+4E75,yan3,yǎn
119,乶,U+4E76,fu3,fǔ
120,乷,U+4E77,sha1,shā
121,乸,U+4E78,na3,nǎ
122,乹,U+4E79,gan1,gān
123,乺,U+4E7A,suo3,suǒ
124,乻,U+4E7B,yu2,yú
125,乼,U+4E7C,cui,cui
126,乽,U+4E7D,zhe3,zhě
127,乾,U+4E7E,qian2|gan1,qián|gān
128,乿,U+4E7F,zhi4|luan4,zhì|luàn
129,亀,U+4E80,gui1,guī
130,亁,U+4E81,gan1,gān
131,亂,U+4E82,luan4,luàn
132,亃,U+4E83,lin3|lin4,lǐn|lìn
133,亄,U+4E84,yi4,yì
134,亅,U+4E85,jue2,jué
135,了,U+4E86,le|liao3|liao4,le|liǎo|liào
136,亇,U+4E87,ma,ma
137,予,U+4E88,yu3|yu2|zhu4,yǔ|yú|zhù
138,争,U+4E89,zheng1,zhēng
139,亊,U+4E8A,shi4,shì
140,事,U+4E8B,shi4|zi4,shì|zì
141,二,U+4E8C,er4,èr
142,亍,U+4E8D,chu4,chù
143,于,U+4E8E,yu2|wei2|yu1|xu1,yú|wéi|yū|xū
144,亏,U+4E8F,kui1|yu2,kuī|yú
145,亐,U+4E90,yu2,yú
146,云,U+4E91,yun2,yún
147,互,U+4E92,hu4,hù
148,亓,U+4E93,qi2,qí
149,五,U+4E94,wu3,wǔ
150,井,U+4E95,jing3|jing4,jǐng|jìng
151,亖,U+4E96,si4,sì
152,亗,U+4E97,sui4,suì
153,亘,U+4E98,gen4|xuan1|geng4,gèn|xuān|gèng
154,亙,U+4E99,gen4|geng4,gèn|gèng
155,亚,U+4E9A,ya4,yà
156,些,U+4E9B,xie1|suo4|suo1,xiē|suò|suō
157,亜,U+4E9C,ya4,yà
158,亝,U+4E9D,qi2|zhai1,qí|zhāi
159,亞,U+4E9E,ya4|ya1|e4,yà|yā|è
160,亟,U+4E9F,ji2|qi4,jí|qì
161,亠,U+4EA0,tou2,tóu
162,亡,U+4EA1,wang2|wu2,wáng|wú
163,亢,U+4EA2,kang4|gang1|geng1,kàng|gāng|gēng
164,亣,U+4EA3,da4,dà
165,交,U+4EA4,jiao1,jiāo
166,亥,U+4EA5,hai4|jie1,hài|jiē
167,亦,U+4EA6,yi4,yì
168,产,U+4EA7,chan3,chǎn
169,亨,U+4EA8,heng1|xiang3|peng1,hēng|xiǎng|pēng
170,亩,U+4EA9,mu3,mǔ
171,亪,U+4EAA,ye,ye
172,享,U+4EAB,xiang3,xiǎng
173,京,U+4EAC,jing1,jīng
174,亭,U+4EAD,ting2,tíng
175,亮,U+4EAE,liang4|liang2,liàng|liáng
176,亯,U+4EAF,xiang3,xiǎng
177,亰,U+4EB0,jing1,jīng
178,亱,U+4EB1,ye4,yè
179,亲,U+4EB2,qin1|qing4,qīn|qìng
180,亳,U+4EB3,bo2,bó
181,亴,U+4EB4,you4,yòu
182,亵,U+4EB5,xie4,xiè
183,亶,U+4EB6,dan3|dan4|chan2|zhan1,dǎn|dàn|chán|zhān
184,亷,U+4EB7,lian2,lián
185,亸,U+4EB8,duo3,duǒ
186,亹,U+4EB9,wei3|men2,wěi|mén
187,人,U+4EBA,ren2,rén
188,亻,U+4EBB,ren2,rén
189,亼,U+4EBC,ji2,jí
190,亽,U+4EBD,ji2,jí
191,亾,U+4EBE,wang2,wáng
192,亿,U+4EBF,yi4,yì
193,什,U+4EC0,shen2|shi2,shén|shí
194,仁,U+4EC1,ren2,rén
195,仂,U+4EC2,le4|li4,lè|lì
196,仃,U+4EC3,ding1|ding3,dīng|dǐng
197,仄,U+4EC4,ze4,zè
198,仅,U+4EC5,jin3|fu4|nu2|jin4,jǐn|fù|nú|jìn
199,仆,U+4EC6,pu1|pu2,pū|pú
200,仇,U+4EC7,chou2|qiu2|ju1,chóu|qiú|jū
201,仈,U+4EC8,ba1,bā
202,仉,U+4EC9,zhang3,zhǎng
203,今,U+4ECA,jin1,jīn
204,介,U+4ECB,jie4|ge4,jiè|gè
205,仌,U+4ECC,bing1,bīng
206,仍,U+4ECD,reng2,réng
207,从,U+4ECE,cong2|zong4,cóng|zòng
208,仏,U+4ECF,fo2,fó
209,仐,U+4ED0,san3,sǎn
210,仑,U+4ED1,lun2,lún
211,仒,U+4ED2,bing1,bīng
212,仓,U+4ED3,cang1,cāng
213,仔,U+4ED4,zai3|zi3|zi1,zǎi|zǐ|zī
214,仕,U+4ED5,shi4,shì
215,他,U+4ED6,ta1|tuo2,tā|tuó
216,仗,U+4ED7,zhang4,zhàng
217,付,U+4ED8,fu4,fù
218,仙,U+4ED9,xian1|xian3,xiān|xiǎn
219,仚,U+4EDA,xian1,xiān
220,仛,U+4EDB,tuo1|duo2|cha4|zhe2,tuō|duó|chà|zhé
221,仜,U+4EDC,hong2,hóng
222,仝,U+4EDD,tong2,tóng
223,仞,U+4EDE,ren4,rèn
224,仟,U+4EDF,qian1,qiān
225,仠,U+4EE0,gan3|han4,gǎn|hàn
226,仡,U+4EE1,ge1|yi4|wu4,gē|yì|wù
227,仢,U+4EE2,bo2,bó
228,代,U+4EE3,dai4,dài
229,令,U+4EE4,ling4|ling2|ling3|lian2,lìng|líng|lǐng|lián
