id,char,codepoint,pinyins_tone3,pinyins_display,script_type,variants,gloss_en,examples,hsk_level
1,一,U+4E00,yi1|yi2|yi4,yī|yí|yì,neutral,,one,一一|一一對應|一一对应,1
2,丁,U+4E01,ding1|zheng1,dīng|zhēng,neutral,,surname Ding,一丁不識|一丁不识|一丁點,7-9
3,丂,U+4E02,kao3|qiao3|yu2,kǎo|qiǎo|yú,neutral,,"""breath"" or ""sigh"" component in Chinese characters",,
4,七,U+4E03,qi1|qi2,qī|qí,neutral,,seven,七七事變|七七事变|七七八八,1
5,丄,U+4E04,shang4,shàng,neutral,,old variant of 上[shang4],,
6,丅,U+4E05,xia4,xià,neutral,,old variant of 下[xia4],,
7,丆,U+4E06,han3,hǎn,neutral,,"one of the characters used in kwukyel (phonetic ""myeon""), an ancient Korean writing system",,
8,万,U+4E07,wan4|mo4,wàn|mò,neutral,萬,used in 万俟[Mo4 qi2],一夫当关，万夫莫开|一本万利|万俟,2
9,丈,U+4E08,zhang4,zhàng,neutral,,"measure of length, ten Chinese feet (3.3 m)",一落千丈|丈二和尚，摸不著頭腦|丈二和尚，摸不着头脑,4
10,三,U+4E09,san1,sān,neutral,,surname San,21三體綜合症|21三体综合症|一倡三歎,1
11,上,U+4E0A,shang4|shang3,shàng|shǎng,neutral,,used in 上聲|上声[shang3 sheng1],一哭二鬧三上吊|一哭二闹三上吊|一擁而上,1
12,下,U+4E0B,xia4,xià,neutral,,down,一下|一下兒|一下儿,1
13,丌,U+4E0C,ji1|qi2,jī|qí,neutral,,surname Ji,,
14,不,U+4E0D,bu4|fou3|fou1|fu1|bu2,bù|fǒu|fōu|fū|bú,neutral,,no; not so,一丁不識|一丁不识|一不做，二不休,1
15,与,U+4E0E,yu3|yu4|yu2,yǔ|yù|yú,simplified,與,variant of 歟|欤[yu2],事与愿违|交与|信息与通讯技术,4
16,丏,U+4E0F,mian3,miǎn,neutral,,hidden from view,,
17,丐,U+4E10,gai4,gài,neutral,,to beg for alms,丐幫|丐帮|丐版,7-9
18,丑,U+4E11,chou3,chǒu,neutral,醜,surname Chou,丁丑|丑時|丑时,5
19,丒,U+4E12,chou3,chǒu,neutral,,variant of 醜|丑[chou3],,
20,专,U+4E13,zhuan1,zhuān,simplified,專,"for a particular person, occasion, purpose",一党专制|不敢自专|中央专制集权,3
21,且,U+4E14,qie3|ju1|cu2,qiě|jū|cú,neutral,,and,且不說|且不说|且休,2
22,丕,U+4E15,pi1,pī,neutral,,grand,丕變|丕变|曹丕,
23,世,U+4E16,shi4,shì,neutral,,surname Shi,一世|一生一世|三世,3
24,丗,U+4E17,shi4,shì,neutral,,old variant of 世[shi4],,
25,丘,U+4E18,qiu1,qiū,neutral,,surname Qiu,一丘之貉|下丘腦|下丘脑,7-9
26,丙,U+4E19,bing3|bing4,bǐng|bìng,neutral,,third of the ten Heavenly Stems 十天干[shi2 tian1 gan1],丙三醇|丙二醇|丙午,7-9
27,业,U+4E1A,ye4,yè,simplified,業,surname Ye,七大工业国集团|三无企业|三资企业,2
28,丛,U+4E1B,cong2,cóng,simplified,叢,cluster,人丛|丛冢|丛书,7-9
29,东,U+4E1C,dong1,dōng,simplified,東,surname Dong,一东一西|三十年河东，三十年河西|上海浦东发展银行,1
30,丝,U+4E1D,si1,sī,simplified,絲,silk,一丝一毫|一丝不挂|一丝不苟,7-9
31,丞,U+4E1E,cheng2|sheng4|zheng1|zheng3,chéng|shèng|zhēng|zhěng,neutral,,deputy,丞相|楊丞琳|杨丞琳,
32,丟,U+4E1F,diu1,diū,traditional,丢,to lose,一丟丟|丟三落四|丟下,5
33,丠,U+4E20,qiu1,qiū,neutral,,old variant of 丘[qiu1],,
34,両,U+4E21,liang3,liǎng,neutral,,Japanese variant of 兩|两[liang3],,
35,丢,U+4E22,diu1,diū,neutral,丟,to lose,一丢丢|丢三落四|丢下,5
36,丣,U+4E23,you3,yǒu,neutral,,old variant of 酉[you3],,
37,两,U+4E24,liang3,liǎng,neutral,兩,two,一个头两个大|一刀两断|一分钱两分货,1
38,严,U+4E25,yan2,yán,simplified,嚴,surname Yan,嘴不严|嘴严|严了眼儿,4
39,並,U+4E26,bing4|ban4|bang4,bìng|bàn|bàng,traditional,并,and,一並|三江並流|並不,3
40,丧,U+4E27,sang4|sang1,sàng|sāng,simplified,喪,mourning,凶丧|出丧|哭丧,6
41,丨,U+4E28,gun3,gǔn,neutral,,radical in Chinese characters (Kangxi radical 2),,
42,丩,U+4E29,jiu1,jiū,neutral,,old variant of 糾|纠[jiu1],,
43,个,U+4E2A,ge4|ge3|gan4,gè|gě|gàn,neutral,個,used in 自個兒|自个儿[zi4 ge3 r5],一个|一个中国政策|一个人,1
44,丫,U+4E2B,ya1,yā,neutral,,fork,丫子|丫巴兒|丫巴儿,7-9
45,丬,U+4E2C,qiang2,qiáng,neutral,,"""piece of wood"" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]",,
46,中,U+4E2D,zhong1|zhong4,zhōng|zhòng,neutral,,(bound form) China; Chinese,一中一台|一中原則|一中原则,1
47,丮,U+4E2E,ji3,jǐ,neutral,,to catch,,
48,丯,U+4E2F,jie4,jiè,neutral,,,,
49,丰,U+4E30,feng1,fēng,neutral,豐,luxuriant,丰姿|丰采|五谷丰登,3
50,丱,U+4E31,guan4|kuang4,guàn|kuàng,neutral,,two tufts of hair,,
51,串,U+4E32,chuan4|guan4|quan4,chuàn|guàn|quàn,neutral,,to string together,一連串|一连串|串串,6
52,丳,U+4E33,chan3|chuan4,chǎn|chuàn,neutral,,skewer,,
53,临,U+4E34,lin2,lín,simplified,臨,to face,事到临头|五福临门|亚临界,4
54,丵,U+4E35,zhuo2,zhuó,neutral,,thick grass,,
55,丶,U+4E36,zhu3,zhǔ,neutral,,"""dot"" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]",,
56,丷,U+4E37,ba1,bā,neutral,,"""eight"" component in Chinese characters",,
57,丸,U+4E38,wan2,wán,neutral,,ball,丸劑|丸剂|丸子,7-9
58,丹,U+4E39,dan1,dān,neutral,,red,不丹|丹佛|丹參,7-9
59,为,U+4E3A,wei4|wei2,wèi|wéi,simplified,為|爲,as (in the capacity of),一之为甚|一分为二|一吐为快,2
60,主,U+4E3B,zhu3|zhu4,zhǔ|zhù,neutral,,owner,UP主|一家之主|三民主義,2
61,丼,U+4E3C,jing3|dan3,jǐng|dǎn,neutral,,"(Tw) bowl of steamed rice with other food on top (loanword from Japanese ""donburi"")",親子丼|亲子丼,
62,丽,U+4E3D,li4|li2,lì|lí,simplified,麗,Korea,亮丽|伊丽莎白|佳丽,3
63,举,U+4E3E,ju3,jǔ,simplified,舉,variant of 舉|举[ju3],一举|一举一动|一举两得,2
64,丿,U+4E3F,pie3|yi4,piě|yì,neutral,,"radical in Chinese characters (Kangxi radical 4), aka 撇[pie3]",,
65,乀,U+4E40,fu2,fú,neutral,,stretch,,
66,乁,U+4E41,yi2|ji2,yí|jí,neutral,,,,
67,乂,U+4E42,yi4|ai4,yì|ài,neutral,,to regulate,,
68,乃,U+4E43,nai3|ai3,nǎi|ǎi,neutral,,to be,乃堆拉|乃堆拉山口|乃是,7-9
69,乄,U+4E44,wu3,wǔ,neutral,,,,
70,久,U+4E45,jiu3,jiǔ,neutral,,(of a period of time) long,N久|不久|不久前,2
71,乆,U+4E46,jiu3,jiǔ,neutral,,old variant of 久[jiu3],,
72,乇,U+4E47,tuo1|zhe2,tuō|zhé,neutral,,old variant of 托[tuo1],,
73,么,U+4E48,me|yao1|mo2|ma,me|yāo|mó|ma,neutral,幺|麼|麽,surname Yao,不怎么|不怎么样|么並矢,1
74,义,U+4E49,yi4,yì,neutral,義,surname Yi,三侠五义|三国演义|三民主义,3
75,乊,U+4E4A,yi1,yī,neutral,,"one of the characters used in kwukyel (phonetic ""ho""), an ancient Korean writing system",,
76,之,U+4E4B,zhi1|zhu1|zhi4,zhī|zhū|zhì,neutral,,"(possessive particle, literary equivalent of 的[de5])",一丘之貉|一之為甚|一之为甚,4
77,乌,U+4E4C,wu1|wu4,wū|wù,simplified,烏,"abbr. for country names that begin with 烏|乌[wu1]: Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2], Uzbekistan 烏茲別克斯坦|乌兹别克斯坦[Wu1 zi1 bie2 ke4 si1 tan3] etc",三足乌|三足金乌|丢乌纱帽,6
78,乍,U+4E4D,zha4|zuo4,zhà|zuò,neutral,,at first,一驚一乍|一惊一乍|乍得,
79,乎,U+4E4E,hu1,hū,neutral,,(classical particle similar to 於|于[yu2]) in,不亦樂乎|不亦乐乎|不在乎,4
80,乏,U+4E4F,fa2,fá,neutral,,short of,不乏|不虞匱乏|不虞匮乏,5
81,乐,U+4E50,le4|yue4,lè|yuè,neutral,樂,surname Le,上海音乐学院|不亦乐乎|中国游艺机游乐园协会,2
82,乑,U+4E51,yin2|pan1|zhong4,yín|pān|zhòng,neutral,,to stand side by side,,
83,乒,U+4E52,ping1,pīng,neutral,,(onom.) ping,乒乓|乒乓球|乒乓球拍,7-9
84,乓,U+4E53,pang1,pāng,neutral,,(onom.) bang,乒乓|乒乓球|乒乓球拍,7-9
85,乔,U+4E54,qiao2,qiáo,neutral,喬,surname Qiao,杰弗里·乔叟|南乔治亚岛和南桑威奇|史蒂夫·乔布斯,7-9
86,乕,U+4E55,hu3,hǔ,neutral,,old variant of 虎[hu3],,
87,乖,U+4E56,guai1,guāi,neutral,,"(of a child) obedient, well-behaved",上一次當，學一次乖|上一次当，学一次乖|乖乖,7-9
88,乗,U+4E57,cheng2,chéng,neutral,,Japanese variant of 乘[cheng2],,
89,乘,U+4E58,cheng2|sheng4,chéng|shèng,neutral,,surname Cheng,上乘|乘人不備|乘人不备,5
90,乙,U+4E59,yi3|yi4|jue2,yǐ|yì|jué,neutral,,second of the ten Heavenly Stems 十天干[shi2 tian1 gan1],乙丑|乙二醇|乙亥,5
91,乚,U+4E5A,yin3,yǐn,neutral,,,,
92,乛,U+4E5B,ya,ya,neutral,,variant of 乙[zhe2],,
93,乜,U+4E5C,mie1|nie4,miē|niè,neutral,,surname Nie,乜嘢|乜斜,
94,九,U+4E5D,jiu3|jiu1,jiǔ|jiū,neutral,,nine,一二九運動|一二九运动|一言九鼎,1
