id,char,codepoint,pinyins_tone3,pinyins_display,script_type,gloss_en
1,㐀,U+3400,qiu1,qiū,neutral,(same as 丘) hillock or mound
2,㐁,U+3401,tian4,tiàn,neutral,"to lick; to taste, a mat, bamboo bark"
3,㐂,U+3402,㐂,㐂,neutral,"(non-standard Japanese variant of 喜), to like, love, enjoy; a joyful thing"
4,㐃,U+3403,㐃,㐃,neutral,
5,㐄,U+3404,kua4,kuà,neutral,
6,㐅,U+3405,wu3,wǔ,neutral,(ancient form of 五) five
7,㐆,U+3406,yin3,yǐn,neutral,"(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱)"
8,㐇,U+3407,㐇,㐇,neutral,
9,㐈,U+3408,㐈,㐈,neutral,
10,㐉,U+3409,㐉,㐉,neutral,
11,㐊,U+340A,㐊,㐊,neutral,
12,㐋,U+340B,㐋,㐋,neutral,
13,㐌,U+340C,yi2,yí,neutral,a tribe of savages in South China
14,㐍,U+340D,㐍,㐍,neutral,
15,㐎,U+340E,㐎,㐎,neutral,
16,㐏,U+340F,㐏,㐏,neutral,
17,㐐,U+3410,㐐,㐐,neutral,
18,㐑,U+3411,㐑,㐑,neutral,
19,㐒,U+3412,㐒,㐒,neutral,
20,㐓,U+3413,㐓,㐓,neutral,
21,㐔,U+3414,㐔,㐔,neutral,
22,㐕,U+3415,㐕,㐕,neutral,
23,㐖,U+3416,xie2,xié,neutral,"㐖毒, an old name for India"
24,㐗,U+3417,㐗,㐗,neutral,
25,㐘,U+3418,㐘,㐘,neutral,
26,㐙,U+3419,㐙,㐙,neutral,
27,㐚,U+341A,㐚,㐚,neutral,
28,㐛,U+341B,㐛,㐛,neutral,
29,㐜,U+341C,chou2,chóu,neutral,"(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match"
30,㐝,U+341D,㐝,㐝,neutral,
31,㐞,U+341E,㐞,㐞,neutral,
32,㐟,U+341F,㐟,㐟,neutral,
33,㐠,U+3420,㐠,㐠,neutral,
34,㐡,U+3421,nuo4,nuò,neutral,(same as 懦) weak; timid; imbecile
35,㐢,U+3422,㐢,㐢,neutral,
36,㐣,U+3423,㐣,㐣,neutral,
37,㐤,U+3424,dan1|qiu2,dān|qiú,neutral,"to implore; to beseech, to seek after, to beg; to pray"
38,㐥,U+3425,㐥,㐥,neutral,
39,㐦,U+3426,㐦,㐦,neutral,
40,㐧,U+3427,㐧,㐧,neutral,"(non-standard Japanese variant of 第) sequence, number; grade, degree"
41,㐨,U+3428,xu4,xù,neutral,a kind of fish in legend (a record in old books)
42,㐩,U+3429,xing2,xíng,neutral,wine cups
43,㐪,U+342A,㐪,㐪,neutral,
44,㐫,U+342B,xiong1,xiōng,neutral,"(same as 凶) cruel, unfortunate, sad"
45,㐬,U+342C,liu2,liú,neutral,"(same as 旒; corrupted form of 荒) a cup with pendants, a pennant, wild, barren, uncultivated"
46,㐭,U+342D,lin3,lǐn,neutral,"(same as 廩) a granary, to supply (foodstuff), to stockpile"
47,㐮,U+342E,xiang1,xiāng,neutral,"(same as 襄) to help; to assist, to achieve, to rise; to raise"
48,㐯,U+342F,yong1,yōng,neutral,"(ancient form of 庸) to employ; to use, to manifest"
49,㐰,U+3430,xin4,xìn,neutral,"(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token"
50,㐱,U+3431,zhen3,zhěn,neutral,"(same as 鬒) bushy, black hair"
51,㐲,U+3432,dai4,dài,neutral,name of an island
52,㐳,U+3433,wu4,wù,neutral,high and level on the top
53,㐴,U+3434,pan1,pān,neutral,"(non-classical of 攀) to drag down; to seize, to pull, to hold to"
54,㐵,U+3435,ru2,rú,neutral,Confucianism; scholar
55,㐶,U+3436,㐶,㐶,neutral,
56,㐷,U+3437,ma3,mǎ,simplified,"a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold"
57,㐸,U+3438,qian4|ci4,qiàn|cì,neutral,"(non-classical form of 欠) to owe money, deficient, to yawn, last name"
58,㐹,U+3439,yi4,yì,simplified,"(standard form of 仡) strong; valiant, a minority ethnic group in China"
59,㐺,U+343A,yin2|zhong4,yín|zhòng,neutral,"(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)"
60,㐻,U+343B,nei4,nèi,neutral,name of a person
61,㐼,U+343C,cheng4,chèng,neutral,(corrupted form of 拯) to save; to lift up
62,㐽,U+343D,feng1,fēng,simplified,"(simplified form of 偑) name of a place, last name"
63,㐾,U+343E,㐾,㐾,neutral,
64,㐿,U+343F,㐿,㐿,neutral,
65,㑀,U+3440,㑀,㑀,neutral,
66,㑁,U+3441,zhuo1,zhuō,neutral,(same as 𠭴) short; of short stature
67,㑂,U+3442,fang3,fǎng,neutral,"(same as 仿) to imitate, like; resembling, according to"
68,㑃,U+3443,ao3,ǎo,neutral,"(same as 拗) to pull; to drag, to break off, to pluck, as a flower"
69,㑄,U+3444,wu3,wǔ,neutral,"(ancient form of 侮) to insult, to ridicule"
70,㑅,U+3445,zuo4,zuò,neutral,"(same as 作) to make; to do; to act, to write; to compose; to rise, work"
