id,char,codepoint,pinyins,script_type,variants,gloss_en,examples,hsk_level
1,一,U+4E00,yī(32747),neutral,,one,一一|一一對應|一一对应,1
2,丁,U+4E01,dīng(16)|zhēng,neutral,,surname Ding,一丁不識|一丁不识|一丁點,7-9
3,丂,U+4E02,kǎo|qiǎo|yú,neutral,,"""breath"" or ""sigh"" component in Chinese characters",,
4,七,U+4E03,qī(950),neutral,,seven,七七事變|七七事变|七七八八,1
5,丄,U+4E04,shàng,neutral,,old variant of 上[shang4],,
6,丅,U+4E05,xià,neutral,,old variant of 下[xia4],,
7,丆,U+4E06,hǎn,neutral,,"one of the characters used in kwukyel (phonetic ""myeon""), an ancient Korean writing system",,
8,万,U+4E07,wàn(1335)|mò,neutral,萬,used in 万俟[Mo4 qi2],一夫当关，万夫莫开|一本万利|万俟,2
9,丈,U+4E08,zhàng(112),neutral,,"measure of length, ten Chinese feet (3.3 m)",一落千丈|丈二和尚，摸不著頭腦|丈二和尚，摸不着头脑,4
10,三,U+4E09,sān(3030),neutral,,surname San,21三體綜合症|21三体综合症|一倡三歎,1
11,上,U+4E0A,shàng(12308)|shang(392),neutral,,used in 上聲|上声[shang3 sheng1],一哭二鬧三上吊|一哭二闹三上吊|一擁而上,1
12,下,U+4E0B,xià(6430)|xia(249),neutral,,down,一下|一下兒|一下儿,1
13,丌,U+4E0C,jī|qí,neutral,,surname Ji,,
14,不,U+4E0D,bù(23305)|bu(555)|fōu|fū,neutral,,no; not so,一丁不識|一丁不识|一不做，二不休,1
15,与,U+4E0E,yǔ(962)|yù(10),simplified,與,variant of 歟|欤[yu2],事与愿违|交与|信息与通讯技术,4
16,丏,U+4E0F,miǎn,neutral,,hidden from view,,
17,丐,U+4E10,gài,neutral,,to beg for alms,丐幫|丐帮|丐版,7-9
18,丑,U+4E11,chǒu(31),neutral,醜,surname Chou,丁丑|丑時|丑时,5
19,丒,U+4E12,chǒu,neutral,,variant of 醜|丑[chou3],,
20,专,U+4E13,zhuān(602),simplified,專,"for a particular person, occasion, purpose",一党专制|不敢自专|中央专制集权,3
21,且,U+4E14,qiě(1051)|cú|jū,neutral,,and,且不說|且不说|且休,2
22,丕,U+4E15,pī,neutral,,grand,丕變|丕变|曹丕,
23,世,U+4E16,shì(1238),neutral,,surname Shi,一世|一生一世|三世,3
24,丗,U+4E17,shì,neutral,,old variant of 世[shi4],,
25,丘,U+4E18,qiū(58),neutral,,surname Qiu,一丘之貉|下丘腦|下丘脑,7-9
26,丙,U+4E19,bǐng(30),neutral,,third of the ten Heavenly Stems 十天干[shi2 tian1 gan1],丙三醇|丙二醇|丙午,7-9
27,业,U+4E1A,yè(2095),simplified,業,surname Ye,七大工业国集团|三无企业|三资企业,2
28,丛,U+4E1B,cóng(69),simplified,叢,cluster,人丛|丛冢|丛书,7-9
29,东,U+4E1C,dōng(1601),simplified,東,surname Dong,一东一西|三十年河东，三十年河西|上海浦东发展银行,1
30,丝,U+4E1D,sī(186),simplified,絲,silk,一丝一毫|一丝不挂|一丝不苟,7-9
31,丞,U+4E1E,chéng|shèng|zhēng|zhěng,neutral,,deputy,丞相|楊丞琳|杨丞琳,
32,丟,U+4E1F,diū(144),traditional,丢,to lose,一丟丟|丟三落四|丟下,5
33,丠,U+4E20,qiū,neutral,,old variant of 丘[qiu1],,
34,両,U+4E21,liǎng,neutral,,Japanese variant of 兩|两[liang3],,
35,丢,U+4E22,diū(144),neutral,丟,to lose,一丢丢|丢三落四|丢下,5
36,丣,U+4E23,yǒu,neutral,,old variant of 酉[you3],,
37,两,U+4E24,liǎng(3229),neutral,兩,two,一个头两个大|一刀两断|一分钱两分货,1
38,严,U+4E25,yán(633),simplified,嚴,surname Yan,嘴不严|嘴严|严了眼儿,4
39,並,U+4E26,bìng|bàn|bàng,traditional,并,and,一並|三江並流|並不,3
40,丧,U+4E27,sàng(22),simplified,喪,mourning,凶丧|出丧|哭丧,6
41,丨,U+4E28,gǔn,neutral,,radical in Chinese characters (Kangxi radical 2),,
42,丩,U+4E29,jiū,neutral,,old variant of 糾|纠[jiu1],,
43,个,U+4E2A,gè(11693)|ge(1891)|gě(18)|gàn,neutral,個,used in 自個兒|自个儿[zi4 ge3 r5],一个|一个中国政策|一个人,1
44,丫,U+4E2B,yā(56),neutral,,fork,丫子|丫巴兒|丫巴儿,7-9
45,丬,U+4E2C,qiáng,neutral,,"""piece of wood"" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]",,
46,中,U+4E2D,zhōng(4875)|zhòng(66),neutral,,(bound form) China; Chinese,一中一台|一中原則|一中原则,1
47,丮,U+4E2E,jǐ,neutral,,to catch,,
48,丯,U+4E2F,jiè,neutral,,,,
49,丰,U+4E30,fēng(264),neutral,豐,luxuriant,丰姿|丰采|五谷丰登,3
50,丱,U+4E31,guàn|kuàng,neutral,,two tufts of hair,,
51,串,U+4E32,chuàn(104)|guàn|quàn,neutral,,to string together,一連串|一连串|串串,6
52,丳,U+4E33,chǎn|chuàn,neutral,,skewer,,
53,临,U+4E34,lín(220),simplified,臨,to face,事到临头|五福临门|亚临界,4
54,丵,U+4E35,zhuó,neutral,,thick grass,,
55,丶,U+4E36,zhǔ,neutral,,"""dot"" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]",,
56,丷,U+4E37,bā,neutral,,"""eight"" component in Chinese characters",,
57,丸,U+4E38,wán(13),neutral,,ball,丸劑|丸剂|丸子,7-9
