character,frequency,codepoint
玛,774,U+739B
瑪,464,U+746A
翰,177,U+7FF0
週,170,U+9031
莉,162,U+8389
遊,136,U+904A
箇,100,U+7B87
妳,74,U+59B3
娜,67,U+5A1C
莎,60,U+838E
姊,59,U+59CA
啥,58,U+5565
喔,51,U+5594
耶,50,U+8036
妮,40,U+59AE
淨,39,U+6DE8
埃,36,U+57C3
莓,36,U+8393
屁,36,U+5C41
阪,34,U+962A
咪,34,U+54AA
洛,33,U+6D1B
曼,33,U+66FC
弗,33,U+5F17
狐,32,U+72D0
鮑,32,U+9B91
蝶,30,U+8776
狸,30,U+72F8
酪,28,U+916A
琳,27,U+7433
蝴,26,U+8774
菸,26,U+83F8
莱,25,U+83B1
臥,25,U+81E5
菠,24,U+83E0
蛛,23,U+86DB
萊,23,U+840A
稣,22,U+7A23
蜘,21,U+8718
淇,21,U+6DC7
嗯,20,U+55EF
菲,19,U+83F2
珊,19,U+73CA
鲍,18,U+9C8D
鈕,17,U+9215
佈,16,U+4F48
狄,16,U+72C4
匈,16,U+5308
嗨,15,U+55E8
託,15,U+8A17
唸,15,U+5538
棕,14,U+68D5
牠,14,U+7260
佔,14,U+4F54
褐,14,U+8910
餵,14,U+9935
僱,13,U+50F1
哟,13,U+54DF
檬,13,U+6AAC
吾,13,U+543E
杉,12,U+6749
鲸,12,U+9CB8
疚,12,U+759A
溺,12,U+6EBA
樱,12,U+6A31
焉,12,U+7109
詹,12,U+8A79
嗡,12,U+55E1
咋,12,U+548B
呎,11,U+544E
熨,11,U+71A8
婭,11,U+5A6D
暇,10,U+6687
踫,10,U+8E2B
噩,10,U+5669
豚,10,U+8C5A
嚐,10,U+5690
蚁,10,U+8681
钮,9,U+94AE
痊,9,U+75CA
癒,9,U+7652
讚,9,U+8B9A
葵,9,U+8475
哩,9,U+54E9
嚏,9,U+568F
慾,9,U+617E
蚂,9,U+8682
螂,9,U+8782
柵,9,U+67F5
盧,9,U+76E7
瑟,9,U+745F
枫,9,U+67AB
崎,8,U+5D0E
洩,8,U+6D29
簿,8,U+7C3F
毋,8,U+6BCB
夭,8,U+592D
卢,8,U+5362
冥,8,U+51A5
駝,8,U+99DD
葛,8,U+845B
妓,8,U+5993
盔,8,U+76D4
癡,8,U+7661
醺,8,U+91BA
噢,8,U+5662
矶,7,U+77F6
橄,7,U+6A44
蕃,7,U+8543
蟑,7,U+87D1
祂,7,U+7942
蝙,7,U+8759
蝠,7,U+8760
吱,7,U+5431
驢,7,U+9A62
瓊,7,U+74CA
亨,7,U+4EA8
鮭,7,U+9BAD
蜗,7,U+8717
瞥,6,U+77A5
円,6,U+5186
咎,6,U+548E
喃,6,U+5583
柠,6,U+67E0
咕,6,U+5495
晾,6,U+667E
札,6,U+672D
趾,6,U+8DBE
鸚,6,U+9E1A
鵡,6,U+9D61
蟋,6,U+87CB
蟀,6,U+87C0
螢,6,U+87A2
肘,6,U+8098
懦,6,U+61E6
喀,6,U+5580
濒,6,U+6FD2
嘎,6,U+560E
倖,6,U+5016
檸,6,U+6AB8
筱,6,U+7B71
拷,6,U+62F7
辘,6,U+8F98
欸,6,U+6B38
虱,6,U+8671
疙,6,U+7599
瘩,6,U+7629
祕,6,U+7955
褉,6,U+8909
雹,5,U+96F9
栅,5,U+6805
嘘,5,U+5618
苔,5,U+82D4
狩,5,U+72E9
榄,5,U+6984
湧,5,U+6E67
穌,5,U+7A4C
疵,5,U+75B5
飪,5,U+98EA
瞌,5,U+778C
娅,5,U+5A05
擲,5,U+64F2
笆,5,U+7B06
吝,5,U+541D
咯,5,U+54AF
厥,5,U+53A5
蛀,5,U+86C0
駱,5,U+99F1
唷,5,U+5537
嘻,5,U+563B
嘈,5,U+5608
踝,5,U+8E1D
咒,5,U+5492
饪,5,U+996A
砰,5,U+7830
侄,5,U+4F84
兇,5,U+5147
櫻,5,U+6AFB
哮,5,U+54EE
芙,5,U+8299
掷,5,U+63B7
噓,5,U+5653
鱿,5,U+9C7F
疤,5,U+75A4
擀,5,U+64C0
喵,5,U+55B5
豌,5,U+8C4C
褬,5,U+892C
锄,4,U+9504
谚,4,U+8C1A
穗,4,U+7A57
萃,4,U+8403
瑕,4,U+7455
氢,4,U+6C22
吠,4,U+5420
簸,4,U+7C38
磯,4,U+78EF
篱,4,U+7BF1
啬,4,U+556C
奄,4,U+5944
燼,4,U+71FC
啪,4,U+556A
鯨,4,U+9BE8
帚,4,U+5E1A
茨,4,U+8328
汙,4,U+6C59
蹄,4,U+8E44
喱,4,U+55B1
蟹,4,U+87F9
襟,4,U+895F
裳,4,U+88F3
嘟,4,U+561F
噜,4,U+565C
浜,4,U+6D5C
幌,4,U+5E4C
钝,4,U+949D
蚱,4,U+86B1
淫,4,U+6DEB
陀,4,U+9640
圭,4,U+572D
諮,4,U+8AEE
鑑,4,U+9451
琵,4,U+7435
琶,4,U+7436
毗,4,U+6BD7
琼,4,U+743C
侯,4,U+4FAF
朕,4,U+6715
赘,4,U+8D58
侏,4,U+4F8F
囉,4,U+56C9
嚎,4,U+568E
茱,4,U+8331
